Table users,,,,,,,,
id (PK),name,email,email_verified_at,password,remember_token,created_at,updated_at,
user-acep-uuid,Acep Senja,acep@senja.com,2024-01-12 11:00,$2y$10$p6...,6,2024-01-12,2024-01-12,
,,,,,,,,
Table pages,,,,,,,,
id (PK),slug,title,status,created_by (FK),metadata,created_at,updated_at,business_profile
page-kopisenja-uuid,kopi-senja,Landing Page Promo Kopi Senja,published,user-acep-uuid,"{
  ""meta_title"": ""Kopi Senja - Kopi Terbaik di Jakarta Selatan"",
  ""meta_description"": ""Nikmati racikan kopi lokal premium dengan suasana senja yang menenangkan. Buka setiap hari jam 10.00 - 22.00 WIB."",
  ""keywords"": ""kopi senja, cafe jakarta selatan, kopi susu gula aren, tempat nongkrong tebet"",
  ""canonical_url"": ""https://kopi-senja.compro.id/"",
  ""robots"": ""index, follow"",
  ""author"": ""Kopi Senja Team"",
  ""og_title"": ""Nongkrong Asik di Kopi Senja"",
  ""og_description"": ""Lagi cari tempat WFC atau nongkrong? Mampir ke Kopi Senja sekarang!"",
  ""og_image"": ""https://cdn.kopisenja.id/assets/og-home-v2.jpg"",
  ""twitter_card"": ""summary_large_image""
}",2024-01-25,2024-01-24,"{
  ""name"": ""Kopi Senja Abadi"",
  ""tagline"": ""Teman Nyaman di Kala Senja"",
  ""description"": ""Kopi Senja Abadi didirikan pada masa Soekarno"",
  ""logo_url"": ""https://cdn.example.com/logos/kopi-senja.png"",
  ""favicon_url"": ""https://cdn.example.com/favicons/kopi.ico"",
  ""location"": ""Jl. Senopati No. 100, Kebayoran Baru""
}"
,,,,,,,,
Tabel components,,,,,,,,
id (PK),name,slug,default_schema,,,,,
comp-hero-uuid,Hero Banner,hero,"{
  ""tabs"": [
    {
      ""label"": ""Content"",
      ""fields"": [
        {
          ""key"": ""title"",
          ""type"": ""text"",
          ""label"": ""Judul Utama"",
          ""default_value"": ""Headline Menarik Disini""
        },
        {
          ""key"": ""subtitle"",
          ""type"": ""textarea"",
          ""label"": ""Deskripsi Singkat"",
          ""default_value"": ""Deskripsikan produk Anda disini""
        },
        {
          ""key"": ""bg_image"",
          ""type"": ""image"",
          ""label"": ""Gambar Background"",
          ""default_value"": null
        },
        {
          ""key"": ""cta_text"",
          ""type"": ""text"",
          ""label"": ""Teks Tombol"",
          ""default_value"": ""Mulai Sekarang""
        },
        {
          ""key"": ""cta_link"",
          ""type"": ""url"",
          ""label"": ""Link Tombol"",
          ""default_value"": ""#""
        }
      ]
    },
  ]
}",,,,,
